Name,Meta1,Meta2,Meta3,brightness
220504c.0m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.285523
220504a.30m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.212461
220504a.27m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.172583
220504a.21m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.156608
220504a.18m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.154183
220504b.28m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.217609
220504a.15m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.224600
220504b.25m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.220696
220504c.32m.asd                 No-OAR  ,Pervious,Bare Soil,Bare Soil,0.293839
220504c.31m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.355794
220504c.30m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.298320
220504c.29m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.326731
220504c.28m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.274782
220504c.27m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.324983
220504c.26m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.154563
220504c.25m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.323094
220504c.24m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.156512
220504c.22m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.224299
220504c.22m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.335324
220504b.30m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.358746
220504b.20m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.197961
220504b.21m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.191737
220504b.32m.asd                 No-OAR  ,Pervious,Bare Soil,Bare Soil,0.312323
220504b.31m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.253620
220504b.27m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil,0.244100
220504b.0m.asd                 No-OAR,Pervious,Plants,High Marsh,0.206248
220504b.5m.asd                 No-OAR,Pervious,Plants,High Marsh,0.179467
220504b.7m.asd                 No-OAR,Pervious,Plants,High Marsh,0.176382
220504b.26m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.165541
220504b.29m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.252336
220504b.24m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.146962
220504b.23m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.164495
220504b.22m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.146932
220504d.0m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.104010
220504d.1m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.117934
220504d.2m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.133468
220504d.3m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.124694
220504d.4m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.130003
220504d.5m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.128805
220504d.6m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.110670
220504d.7m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.113507
220504d.8m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.132306
220504a.31m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.144317
220504d.10m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.120502
220504d.11m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.112558
220504d.12m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.113381
220504d.14m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.106873
220504d.15m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.115142
220504d.16m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.126748
220504d.17m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.142704
220504d.18m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.107589
220504d.19m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.107156
220504d.13m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.103282
220504d.20m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.150765
220504d.21m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.155521
220504d.22m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.154682
220504d.23m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.113155
220504d.24m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.109539
220504d.25m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.103956
220504d.26m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.121096
220504d.27m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.103505
220504d.28m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.110737
220504d.29m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.130220
220504d.30m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.130450
220504d.31m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.106932
220504d.32m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.108753
220504b.19m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.174343
220504c.1m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.152388
220504c.2m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.148359
220504c.3m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.124568
220504c.4m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.171774
220504c.5m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.113565
220504c.6m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.129501
220504c.7m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.128676
220504c.8m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.144109
220504c.9m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.110519
220504c.10m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.118526
220504c.11m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.144248
220504c.12m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.0912017
220504c.13m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.107884
220504c.14m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.115258
220504c.15m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.0965942
220504c.16m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.120872
220504c.17m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.115221
220504c.18m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.122526
220504c.19m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.127057
220504c.20m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.135752
220504c.21m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.241163
220504b.18m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.153500
220504b.17m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.153768
220504b.16m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.160868
220504b.15m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.119547
220504b.14m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.128813
220504b.13m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.122725
220504b.12m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.0917557
220504b.11m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.111061
220504b.10m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.114036
220504b.9m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.120479
220504b.8m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.0982790
220504a.0m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.180861
220504a.1m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.125835
220504a.2m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.137203
220504a.00020.asd                 No-OAR,Pervious,Plants,Pickleweed,0.134987
220504a.4m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.135123
220504a.5m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.148422
220504a.6m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.149075
220504a.7m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.121561
220504a.8m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.132501
220504a.9m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.125375
220504a.10m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.138551
220504a.11m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.166124
220504a.12m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.168690
220504a.13m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.166752
220504a.14m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.186205
220504b.6m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.131151
220504a.16m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.196997
220504a.17m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.135259
220504b.4m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.134795
220504a.19m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.148228
220504a.20m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.135138
220504b.3m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.148132
220504a.22m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.121738
220504a.23m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.127370
220504a.24m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.129136
220504a.25m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.226044
220504a.26m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.146340
220504b.2m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.106895
220504a.28m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.157026
220504a.29m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.142509
220504b.1m.asd                 No-OAR,Pervious,Plants,Pickleweed,0.129525
220504a.32m.asd                 No-OAR  ,Pervious,Plants,Pickleweed,0.171332
220504d.9m.asd                 No-OAR,Impervious,Reference,White Ref,1.00891
